IPR;v1.0.3;12/03/2024;Temps d'execution :;2.57secs
"CODE_OPERATION";"CODE_STATION";"DATE";"CODE_PAR";"LIB_PAR";"RESULTAT"
"16594";"41469";"08/06/2010";7787;"Score DTI";0.104302231684066
"16594";"41469";"08/06/2010";7036;"IPR";20.4585416410298
"16593";"41469";"14/06/2012";NA;"ALT";6
"16593";"41469";"14/06/2012";7744;"Score NER";5.5259705481527
"16593";"41469";"14/06/2012";7743;"Score NEL";4.87602938156437
"16593";"41469";"14/06/2012";7644;"Score NTE";0.1911533850254
"16593";"41469";"14/06/2012";7786;"Score DIT";1.60867399724196
"16593";"41469";"14/06/2012";7746;"Score DIO";4.50166332519528
"16593";"41469";"14/06/2012";7745;"Score DII";0.756251802810309
"16593";"41469";"14/06/2012";7787;"Score DTI";0.350305403755777
"16593";"41469";"14/06/2012";7036;"IPR";17.8100478437458
"15080";"41469";"20/06/2014";NA;"ALT";6
"15080";"41469";"20/06/2014";7744;"Score NER";5.55224467006321
"15080";"41469";"20/06/2014";7743;"Score NEL";4.88575977475408
"15080";"41469";"20/06/2014";7644;"Score NTE";0.99209714796323
"15080";"41469";"20/06/2014";7786;"Score DIT";1.18353587141994
"15080";"41469";"20/06/2014";7746;"Score DIO";3.14188652160908
"15080";"41469";"20/06/2014";7745;"Score DII";1.40641230608897
"15080";"41469";"20/06/2014";7787;"Score DTI";1.86641587721764
"15080";"41469";"20/06/2014";7036;"IPR";19.0283521691161
"15161";"41469";"19/05/2016";NA;"ALT";6
"15161";"41469";"19/05/2016";7744;"Score NER";5.27775773705561
"15161";"41469";"19/05/2016";7743;"Score NEL";2.32098352819816
"15161";"41469";"19/05/2016";7644;"Score NTE";3.68150264610846
"15161";"41469";"19/05/2016";7786;"Score DIT";2.23104575556699
"15161";"41469";"19/05/2016";7746;"Score DIO";5.19583574484195
"15161";"41469";"19/05/2016";7745;"Score DII";1.21623068706011
"15161";"41469";"19/05/2016";7787;"Score DTI";0.376125934160291
"15161";"41469";"19/05/2016";7036;"IPR";20.2994820329916
"38750";"41469";"05/06/2018";NA;"ALT";6
"38750";"41469";"05/06/2018";7744;"Score NER";5.37149269766443
"38750";"41469";"05/06/2018";7743;"Score NEL";4.81640791131187
"38750";"41469";"05/06/2018";7644;"Score NTE";2.21247078544668
"38750";"41469";"05/06/2018";7786;"Score DIT";2.88424941597101
"38750";"41469";"05/06/2018";7746;"Score DIO";6.64949838500082
"38750";"41469";"05/06/2018";7745;"Score DII";0.403425222774456
"38750";"41469";"05/06/2018";7787;"Score DTI";0.662318697180082
"38750";"41469";"05/06/2018";7036;"IPR";22.9998631153494
"83293";"41469";"02/06/2020";NA;"ALT";6
"83293";"41469";"02/06/2020";7744;"Score NER";5.60525422408996
"83293";"41469";"02/06/2020";7743;"Score NEL";2.41464252782354
"83293";"41469";"02/06/2020";7644;"Score NTE";3.30226909653113
"83293";"41469";"02/06/2020";7786;"Score DIT";2.30903867331314
"83293";"41469";"02/06/2020";7746;"Score DIO";5.70403483717544
"83293";"41469";"02/06/2020";7745;"Score DII";0.514916687643895
"83293";"41469";"02/06/2020";7787;"Score DTI";0.206175164266939
"83293";"41469";"02/06/2020";7036;"IPR";20.056331210844
"90758";"41469";"03/05/2023";NA;"ALT";6
"90758";"41469";"03/05/2023";7744;"Score NER";5.39328724811686
"90758";"41469";"03/05/2023";7743;"Score NEL";4.82506907259232
"90758";"41469";"03/05/2023";7644;"Score NTE";0.441979506173244
